dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle,predicted_trips,predicted_trips_per_vehicle
B02617,1/31/2015,1394,15756,2015-01-31,5,Saturday,1,1,2,14793.0,14143.0,12676.0,10670.42857142857,3709.2756191806,11021.357142857143,2866.54247931446,11.302725968436157,15757.311,11.303666102492826
B02617,2/1/2015,1355,13458,2015-02-01,6,Sunday,1,2,2,15756.0,10362.0,12879.0,10900.857142857143,3999.6865889121623,11241.357142857143,3111.062831181724,9.93210332103321,13461.782,9.934894632149447
B02617,2/2/2015,1217,12216,2015-02-02,0,Monday,0,2,2,13458.0,7608.0,7775.0,11343.142857142857,4100.086439274642,11282.714285714286,3138.2373893776607,10.037797863599014,12215.316,10.037236159613805
B02617,2/3/2015,1350,12665,2015-02-03,1,Tuesday,0,2,2,12216.0,4325.0,10015.0,12001.42857142857,3755.916659402994,11599.92857142857,2976.693505430939,9.38148148148148,12662.848,9.379887152777778
B02617,2/4/2015,1393,11959,2015-02-04,2,Wednesday,0,2,2,12665.0,10862.0,10997.0,13192.857142857143,1644.0659383138468,11789.214285714286,2952.312344810198,8.585068198133525,11958.315,8.58457676215901
B02617,2/5/2015,1524,14499,2015-02-05,3,Thursday,0,2,2,11959.0,12600.0,12143.0,13349.57142857143,1422.1644135076638,11857.92857142857,2943.637819075254,9.513779527559056,14495.188,9.51127852792815
B02617,2/6/2015,1526,15417,2015-02-06,4,Friday,0,2,2,14499.0,14793.0,13121.0,13620.857142857143,1436.3998315895374,12026.214285714286,3027.344080430682,10.102883355176932,15415.403,10.101837038212647
B02617,2/7/2015,1383,13688,2015-02-07,5,Saturday,1,2,2,15417.0,15756.0,14143.0,13710.0,1537.0996497733347,12190.214285714286,3150.883714344072,9.897324656543743,13685.357,9.895413898680404
B02617,2/8/2015,1256,11004,2015-02-08,6,Sunday,1,2,2,13688.0,13458.0,10362.0,13414.57142857143,1250.298212046869,12157.714285714286,3131.4789926357,8.761146496815286,11005.304,8.762184483230493
B02617,2/9/2015,1312,10887,2015-02-09,0,Monday,0,2,2,11004.0,12216.0,7608.0,13064.0,1545.3230514469496,12203.57142857143,3107.770848751829,8.298018292682928,10886.542,8.297669201362424
B02617,2/10/2015,1364,11401,2015-02-10,1,Tuesday,0,2,2,10887.0,12665.0,4325.0,12874.142857142857,1736.6656201440896,12437.785714285714,2847.4443380410044,8.35850439882698,11404.57,8.361121929985337
B02617,2/11/2015,1450,12749,2015-02-11,2,Wednesday,0,2,2,11401.0,11959.0,10862.0,12693.57142857143,1825.477641344204,12943.214285714286,1688.9785342066998,8.792413793103448,12744.584,8.789368265086207
