dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle
B02764,1/23/2015,4040,33756,2015-01-23,4,Friday,0,1,4,30091.0,34822.0,33517.0,30377.714285714286,5221.288816447706,30736.071428571428,4513.983716685904,8.355445544554456
B02765,1/23/2015,299,2162,2015-01-23,4,Friday,0,1,5,2038.0,2082.0,2039.0,1931.0,281.1209704024228,1873.9285714285713,249.83578122922586,7.230769230769231
B02512,1/24/2015,211,1608,2015-01-24,5,Saturday,1,1,0,1670.0,1281.0,1646.0,1411.0,218.5337502538227,1455.5,205.92819883863166,7.62085308056872
B02598,1/24/2015,945,10040,2015-01-24,5,Saturday,1,1,1,9343.0,9546.0,10287.0,8324.0,1475.159878340876,8587.07142857143,1266.5355207315456,10.624338624338625
B02617,1/24/2015,1367,14143,2015-01-24,5,Saturday,1,1,2,13121.0,12676.0,13856.0,11372.285714285714,1938.4439390299385,11740.142857142857,1569.1916026139997,10.346013167520118
B02682,1/24/2015,1223,13355,2015-01-24,5,Saturday,1,1,3,11767.0,11382.0,11629.0,10000.714285714286,1743.6702396846429,10018.857142857143,1415.3694194119767,10.919869174161898
B02764,1/24/2015,3652,39187,2015-01-24,5,Saturday,1,1,4,33756.0,36318.0,38864.0,30225.428571428572,5083.796870356604,30753.14285714286,4525.746531825403,10.730284775465499
B02765,1/24/2015,245,2376,2015-01-24,5,Saturday,1,1,5,2162.0,2160.0,2202.0,1942.4285714285713,289.77569321969065,1882.7142857142858,258.112804370918,9.69795918367347
B02512,1/25/2015,183,1190,2015-01-25,6,Sunday,1,1,0,1608.0,1521.0,1104.0,1457.7142857142858,221.04879874944262,1452.7857142857142,203.45975923109114,6.502732240437158
B02598,1/25/2015,829,7219,2015-01-25,6,Sunday,1,1,1,10040.0,9443.0,7176.0,8394.57142857143,1553.1199628643049,8569.42857142857,1242.5267503256125,8.708082026537998
B02617,1/25/2015,1203,10362,2015-01-25,6,Sunday,1,1,2,14143.0,12879.0,10932.0,11581.857142857143,2168.530026582633,11760.642857142857,1600.521482668547,8.613466334164588
B02682,1/25/2015,1046,9303,2015-01-25,6,Sunday,1,1,3,13355.0,11161.0,8461.0,10282.57142857143,2122.4786498449434,10142.142857142857,1625.9202297181116,8.893881453154876
B02764,1/25/2015,3300,28066,2015-01-25,6,Sunday,1,1,4,39187.0,35182.0,27681.0,30635.285714285714,5731.2651225328855,30776.214285714286,4570.87310593386,8.504848484848484
B02765,1/25/2015,226,1755,2015-01-25,6,Sunday,1,1,5,2376.0,2287.0,1672.0,1973.2857142857142,326.0371728733366,1895.142857142857,278.08600140212775,7.765486725663717
B02512,1/26/2015,197,1000,2015-01-26,0,Monday,0,1,0,1190.0,1025.0,1399.0,1410.4285714285713,239.85749737629465,1458.9285714285713,193.15655837676334,5.0761421319796955
B02598,1/26/2015,860,5919,2015-01-26,0,Monday,0,1,1,7219.0,5609.0,7915.0,8076.857142857143,1530.210162970154,8572.5,1238.8650978896906,6.882558139534884
B02617,1/26/2015,1150,7608,2015-01-26,0,Monday,0,1,2,10362.0,7775.0,10662.0,11222.285714285714,2125.8553348621595,11719.92857142857,1630.1968481555443,6.615652173913044
B02682,1/26/2015,1084,7565,2015-01-26,0,Monday,0,1,3,9303.0,7028.0,9107.0,10017.142857142857,2110.460094274186,10202.285714285714,1573.6849175677526,6.978782287822878
B02764,1/26/2015,3012,19940,2015-01-26,0,Monday,0,1,4,28066.0,22750.0,26852.0,29618.714285714286,5412.625601753912,30803.714285714286,4551.937667353599,6.620185922974768
B02765,1/26/2015,230,1363,2015-01-26,0,Monday,0,1,5,1755.0,1568.0,1711.0,1897.2857142857142,301.8281598778318,1901.0714285714287,273.814778576747,5.926086956521739
B02512,1/27/2015,112,629,2015-01-27,1,Tuesday,0,1,0,1000.0,1310.0,1652.0,1406.857142857143,246.6430812405036,1430.4285714285713,228.822307373316,5.616071428571429
B02598,1/27/2015,434,2957,2015-01-27,1,Tuesday,0,1,1,5919.0,7206.0,8713.0,8121.142857142857,1449.227314648676,8429.92857142857,1421.7110744173312,6.813364055299539
B02617,1/27/2015,596,4325,2015-01-27,1,Tuesday,0,1,2,7608.0,10015.0,11825.0,11198.42857142857,2171.438222096349,11501.785714285714,1954.6901851138011,7.256711409395973
B02682,1/27/2015,600,4414,2015-01-27,1,Tuesday,0,1,3,7565.0,8496.0,9629.0,10093.857142857143,1990.0203037968743,10092.142857142857,1704.7463089920393,7.3566666666666665
B02764,1/27/2015,1619,11998,2015-01-27,1,Tuesday,0,1,4,19940.0,26137.0,29983.0,29217.285714285714,6071.097586496357,30310.0,5323.051929687877,7.410747374922792
B02765,1/27/2015,135,921,2015-01-27,1,Tuesday,0,1,5,1363.0,1608.0,1697.0,1868.0,345.83955817690946,1876.2142857142858,306.26940844532703,6.822222222222222
B02512,1/28/2015,235,1438,2015-01-28,2,Wednesday,0,1,0,629.0,1519.0,1582.0,1309.5714285714287,386.09707636934064,1357.357142857143,303.7100355837549,6.1191489361702125
B02598,1/28/2015,1011,8071,2015-01-28,2,Wednesday,0,1,1,2957.0,8041.0,8870.0,7514.142857142857,2444.4938418529814,8018.785714285715,2033.993615396207,7.983184965380811
B02617,1/28/2015,1356,10862,2015-01-28,2,Wednesday,0,1,2,4325.0,10997.0,11965.0,10385.57142857143,3403.6554789002403,10966.07142857143,2732.349044722838,8.010324483775811
B02682,1/28/2015,1235,10025,2015-01-28,2,Wednesday,0,1,3,4414.0,9472.0,9762.0,9510.714285714286,2917.9994696301605,9719.642857142857,2284.804270598481,8.117408906882591
B02764,1/28/2015,3692,28137,2015-01-28,2,Wednesday,0,1,4,11998.0,27344.0,29550.0,27197.428571428572,8940.60247517177,29025.35714285714,7234.913094019995,7.6210725893824485
B02765,1/28/2015,286,1913,2015-01-28,2,Wednesday,0,1,5,921.0,1774.0,1600.0,1769.857142857143,496.5572906091933,1820.7857142857142,397.75488752427736,6.688811188811189
B02512,1/29/2015,250,1687,2015-01-29,3,Thursday,0,1,0,1438.0,1551.0,1636.0,1298.0,379.93903019651293,1347.0714285714287,297.89968995406025,6.748
B02598,1/29/2015,1082,9499,2015-01-29,3,Thursday,0,1,1,8071.0,9080.0,9152.0,7518.428571428572,2445.5975314254574,7961.714285714285,2019.429676859342,8.779112754158964
B02617,1/29/2015,1474,12600,2015-01-29,3,Thursday,0,1,2,10862.0,12143.0,12539.0,10366.285714285714,3399.994103636345,10887.285714285714,2717.1899916180782,8.548168249660787
B02682,1/29/2015,1316,11485,2015-01-29,3,Thursday,0,1,3,10025.0,10699.0,10391.0,9589.714285714286,2924.255729485464,9738.42857142857,2286.2600536612263,8.727203647416413
B02764,1/29/2015,3959,31637,2015-01-29,3,Thursday,0,1,4,28137.0,30091.0,31214.0,27310.714285714286,8947.790336432894,28924.428571428572,7236.886779806373,7.991159383682748
B02765,1/29/2015,295,2086,2015-01-29,3,Thursday,0,1,5,1913.0,2038.0,1797.0,1789.7142857142858,499.52100866253664,1843.142857142857,393.16034253858174,7.071186440677966
B02512,1/30/2015,256,2016,2015-01-30,4,Friday,0,1,0,1687.0,1670.0,1481.0,1317.4285714285713,398.07698465784955,1350.7142857142858,301.98839217921767,7.875
B02598,1/30/2015,1106,11167,2015-01-30,4,Friday,0,1,1,9499.0,9343.0,9838.0,7578.285714285715,2494.820014502431,7986.5,2037.2137363792524,10.096745027124774
B02617,1/30/2015,1501,14793,2015-01-30,4,Friday,0,1,2,12600.0,13121.0,12977.0,10431.57142857143,3443.900156176757,10891.642857142857,2720.0896932933006,9.855429713524318
B02682,1/30/2015,1384,13852,2015-01-30,4,Friday,0,1,3,11485.0,11767.0,11280.0,9702.0,2988.3374976732453,9816.57142857143,2328.5845722004838,10.008670520231213
B02764,1/30/2015,4124,39110,2015-01-30,4,Friday,0,1,4,31637.0,33756.0,34822.0,27531.571428571428,9046.389940323208,28954.64285714286,7248.055544097993,9.483511154219205
B02765,1/30/2015,322,2785,2015-01-30,4,Friday,0,1,5,2086.0,2162.0,2082.0,1796.5714285714287,503.8084481039915,1863.7857142857142,398.1070939354865,8.649068322981366
B02512,1/31/2015,225,1892,2015-01-31,5,Saturday,1,1,0,2016.0,1608.0,1281.0,1366.857142857143,465.0062467578362,1388.9285714285713,349.80730174147067,8.408888888888889
B02598,1/31/2015,1027,11642,2015-01-31,5,Saturday,1,1,1,11167.0,10040.0,9546.0,7838.857142857143,2787.894452125202,8081.428571428572,2157.53572799674,11.335929892891919
B02617,1/31/2015,1394,15756,2015-01-31,5,Saturday,1,1,2,14793.0,14143.0,12676.0,10670.42857142857,3709.2756191805997,11021.357142857143,2866.5424793144593,11.302725968436155
B02682,1/31/2015,1321,15388,2015-01-31,5,Saturday,1,1,3,13852.0,13355.0,11382.0,9999.857142857143,3314.5690734780496,10000.285714285714,2544.383359739386,11.64875094625284
B02764,1/31/2015,3947,44297,2015-01-31,5,Saturday,1,1,4,39110.0,39187.0,36318.0,28296.428571428572,9850.926163854558,29260.928571428572,7597.256918573517,11.222954142386623
B02765,1/31/2015,309,3282,2015-01-31,5,Saturday,1,1,5,2785.0,2376.0,2160.0,1885.5714285714287,620.6104137978073,1914.0,466.2516652888389,10.62135922330097
B02512,2/1/2015,193,1377,2015-02-01,6,Sunday,1,2,0,1892.0,1190.0,1521.0,1407.4285714285713,500.5809482134592,1432.5714285714287,372.67364858767286,7.134715025906735
B02598,2/1/2015,961,9499,2015-02-01,6,Sunday,1,2,1,11642.0,7219.0,9443.0,8067.714285714285,3051.9493614347384,8231.142857142857,2332.6014482726196,9.884495317377732
B02617,2/1/2015,1355,13458,2015-02-01,6,Sunday,1,2,2,15756.0,10362.0,12879.0,10900.857142857143,3999.6865889121627,11241.357142857143,3111.0628311817236,9.93210332103321
B02682,2/1/2015,1214,12436,2015-02-01,6,Sunday,1,2,3,15388.0,9303.0,11161.0,10290.285714285714,3721.623020237528,10286.42857142857,2910.624694097491,10.243822075782537
B02764,2/1/2015,3740,37468,2015-02-01,6,Sunday,1,2,4,44297.0,28066.0,35182.0,29026.428571428572,10923.429846849735,29830.85714285714,8421.91185911117,10.018181818181818
B02765,2/1/2015,289,2672,2015-02-01,6,Sunday,1,2,5,3282.0,1755.0,2287.0,2015.0,806.5537799799837,1994.142857142857,591.417184155386,9.245674740484429
B02512,2/2/2015,227,1904,2015-02-02,0,Monday,0,2,0,1377.0,1000.0,1025.0,1434.142857142857,491.95915432463477,1422.2857142857142,372.0319317501633,8.387665198237885
B02598,2/2/2015,939,9511,2015-02-02,0,Monday,0,2,1,9499.0,5919.0,5609.0,8393.42857142857,3067.898404290406,8235.142857142857,2334.88632097328,10.128860489882854
B02617,2/2/2015,1217,12216,2015-02-02,0,Monday,0,2,2,13458.0,7608.0,7775.0,11343.142857142857,4100.086439274642,11282.714285714286,3138.2373893776607,10.037797863599014
B02682,2/2/2015,1152,11981,2015-02-02,0,Monday,0,2,3,12436.0,7565.0,7028.0,10737.857142857143,3771.1621298379373,10377.5,2959.6288163837767,10.40017361111111
B02764,2/2/2015,3270,30761,2015-02-02,0,Monday,0,2,4,37468.0,19940.0,22750.0,30369.571428571428,11355.155904656158,29994.14285714286,8554.754601139315,9.40703363914373
B02765,2/2/2015,275,2607,2015-02-02,0,Monday,0,2,5,2672.0,1363.0,1568.0,2146.0,831.3739631878462,2021.642857142857,614.5794818902107,9.48
