dispatching_base_number,date,active_vehicles,trips,trip_date
B02598,2/7/2015,1031,10512,2015-02-07
B02512,2/7/2015,211,1504,2015-02-07
B02617,2/7/2015,1383,13688,2015-02-07
B02682,2/7/2015,1300,13450,2015-02-07
B02764,2/7/2015,3849,38530,2015-02-07
B02765,2/7/2015,345,3473,2015-02-07
B02764,2/8/2015,3422,29692,2015-02-08
B02765,2/8/2015,313,2623,2015-02-08
B02598,2/8/2015,923,8129,2015-02-08
B02617,2/8/2015,1256,11004,2015-02-08
B02682,2/8/2015,1136,10356,2015-02-08
B02512,2/8/2015,176,1196,2015-02-08
B02617,2/9/2015,1312,10887,2015-02-09
B02682,2/9/2015,1241,10209,2015-02-09
B02598,2/9/2015,976,8135,2015-02-09
B02764,2/9/2015,3543,28266,2015-02-09
B02512,2/9/2015,228,1565,2015-02-09
B02765,2/9/2015,388,2894,2015-02-09
B02764,2/10/2015,3700,29124,2015-02-10
B02512,2/10/2015,233,1555,2015-02-10
B02617,2/10/2015,1364,11401,2015-02-10
B02765,2/10/2015,422,3432,2015-02-10
B02682,2/10/2015,1281,10536,2015-02-10
B02598,2/10/2015,1029,8718,2015-02-10
B02617,2/11/2015,1450,12749,2015-02-11
B02764,2/11/2015,3849,31889,2015-02-11
B02512,2/11/2015,255,1831,2015-02-11
B02598,2/11/2015,1115,10034,2015-02-11
B02765,2/11/2015,450,3778,2015-02-11
B02682,2/11/2015,1396,12189,2015-02-11
B02617,2/12/2015,1532,14263,2015-02-12
B02512,2/12/2015,269,2092,2015-02-12
B02682,2/12/2015,1468,13786,2015-02-12
B02765,2/12/2015,536,4609,2015-02-12
B02598,2/12/2015,1181,11640,2015-02-12
B02764,2/12/2015,4137,36844,2015-02-12
B02617,2/13/2015,1590,16996,2015-02-13
B02682,2/13/2015,1523,16088,2015-02-13
B02764,2/13/2015,4395,43561,2015-02-13
B02765,2/13/2015,599,5909,2015-02-13
B02512,2/13/2015,281,2408,2015-02-13
B02598,2/13/2015,1216,13062,2015-02-13
B02764,2/14/2015,4129,45858,2015-02-14
B02512,2/14/2015,236,2055,2015-02-14
B02598,2/14/2015,1111,12678,2015-02-14
B02765,2/14/2015,583,6307,2015-02-14
B02617,2/14/2015,1486,16999,2015-02-14
B02682,2/14/2015,1428,16448,2015-02-14
B02682,2/15/2015,1261,14517,2015-02-15
B02764,2/15/2015,3651,41209,2015-02-15
B02617,2/15/2015,1293,14662,2015-02-15
B02765,2/15/2015,521,5500,2015-02-15
B02512,2/15/2015,210,1996,2015-02-15
B02598,2/15/2015,1003,11517,2015-02-15
B02598,2/16/2015,934,9052,2015-02-16
B02512,2/16/2015,207,1576,2015-02-16
B02617,2/16/2015,1214,11824,2015-02-16
B02764,2/16/2015,3524,33448,2015-02-16
B02682,2/16/2015,1164,11323,2015-02-16
B02765,2/16/2015,508,4875,2015-02-16
B02764,2/17/2015,3826,32473,2015-02-17
B02512,2/17/2015,241,1797,2015-02-17
B02682,2/17/2015,1314,11887,2015-02-17
B02617,2/17/2015,1378,12524,2015-02-17
B02598,2/17/2015,1066,9463,2015-02-17
B02765,2/17/2015,578,4907,2015-02-17
B02598,2/18/2015,1078,9538,2015-02-18
B02682,2/18/2015,1314,11724,2015-02-18
B02617,2/18/2015,1394,12016,2015-02-18
B02765,2/18/2015,586,5059,2015-02-18
B02764,2/18/2015,3842,32317,2015-02-18
B02512,2/18/2015,228,1589,2015-02-18
B02598,2/19/2015,1127,11739,2015-02-19
B02512,2/19/2015,250,2120,2015-02-19
B02682,2/19/2015,1428,14591,2015-02-19
B02764,2/19/2015,4110,39110,2015-02-19
B02765,2/19/2015,663,6447,2015-02-19
B02617,2/19/2015,1452,14750,2015-02-19
B02764,2/20/2015,4384,44755,2015-02-20
B02617,2/20/2015,1574,16856,2015-02-20
B02598,2/20/2015,1186,12758,2015-02-20
B02682,2/20/2015,1497,16342,2015-02-20
B02765,2/20/2015,736,7824,2015-02-20
B02512,2/20/2015,272,2380,2015-02-20
B02598,2/21/2015,1044,12132,2015-02-21
B02682,2/21/2015,1374,16149,2015-02-21
B02765,2/21/2015,685,7658,2015-02-21
B02617,2/21/2015,1443,16098,2015-02-21
B02512,2/21/2015,238,2149,2015-02-21
B02764,2/21/2015,3981,44194,2015-02-21
B02512,2/22/2015,199,1312,2015-02-22
B02617,2/22/2015,1248,10696,2015-02-22
B02682,2/22/2015,1220,10970,2015-02-22
B02764,2/22/2015,3478,30157,2015-02-22
B02598,2/22/2015,909,8271,2015-02-22
